food;wine;Merchandise;Artikel;WGR;WGR_TEXT;Bontext_German;Bontext_English;origin_country_code;origin_country_ISOCODE;origin_country_tarif_no;purchase_price;sale_price;quantity;Artikelgewicht;Positionsgewicht;0;ean;pwert_end;3;4õûÕÛ
NO;NO;NO;10026410;1;Sortiment;GIBRALTAR Glas 2 - 240ml;GIBRALTAR glass 2 - 240ml;52;TR;70133799;0,27;1,49;6;0,27;1,62;;4035644714026;1,62;;
NO;NO;NO;10026427;1;Sortiment;GIBRALTAR Glas 3 - 360ml;GIBRALTAR glass 3 - 300ml;52;TR;70133799;0,3;1,69;6;0,33;1,98;;4035644714033;1,8;;
NO;NO;NO;10047828;2;Textilien;Mix it! Serviette schwarz;Mix it! Napkin black;664;IN;63025100;0,34;1,99;10;0,03;0,3;;4035644726265;3,4;;
NO;NO;NO;10047842;2;Textilien;MIX IT! Serv. weiß 40x40;MIX IT! NP white 40x40;664;IN;63025100;0,36;1,99;10;0,03;0,3;;4035644726289;3,6;;
NO;NO;NO;10047873;2;Textilien;MIX IT! TS rot 46x33;MIX IT! PM red 46x33;664;IN;63025100;0,61;1,99;20;0,08;1,6;;4035644726319;12,2;;
NO;NO;NO;10047880;2;Textilien;MIX IT! TS orange 46x33;MIX IT! PM orange 46x33;664;IN;63025100;0,63;1,99;10;0,08;0,8;;4035644726326;6,3;;
NO;NO;NO;10047934;2;Textilien;MIX IT! TS weiß 46x33;MIX IT! PM white 46x33;664;IN;63025100;0,61;1,99;20;0,08;1,6;;4035644726371;12,2;;
NO;NO;NO;10054956;1;Sortiment;ESPERTO ACCESSORI Zubehör 1 Tasse;ESPERTO ACCESSORI replacement 1 cup;5;IT;76151990;0,46;1,99;5;0,02;0,1;;4035644870722;2,3;;
NO;NO;NO;10054963;1;Sortiment;ESPERTO ACCESSORI Zubehör 3 Tassen;ESPERTO ACCESSORI replacement 3 cups;5;IT;76151990;0,49;2,99;5;0,04;0,2;;4035644870739;2,45;;
NO;NO;NO;10054994;1;Sortiment;RING OF FIRE Kerzenhalter f. Weinflasche;RING OF FIRE Candleholder for;736;TW;94055000;1,82;9,99;12;0,15;1,8;;4035644756903;21,84;;
NO;NO;NO;10062647;2;Textilien;MIX IT! Küchentuch grün;MIX IT! Kitchen Towel green;664;IN;63029100;0,71;1,99;20;0,09;1,8;;4035644753674;14,2;;
NO;NO;NO;10062661;2;Textilien;MIX IT! Küchentuch creme;MIX IT! Kitchen Towel cream;220;EG;63029100;0,74;1,99;10;0,09;0,9;;4035644753698;7,4;;
NO;NO;NO;10062708;2;Textilien;MIX IT! Küchentuch rot;MIX IT! Kitchen Towel red;220;EG;63029100;0,73;1,99;20;0,09;1,8;;4035644753735;14,6;;
NO;NO;NO;10064221;1;Sortiment;QUATTRO STAGIONI Glas, 0,5l;QUATTRO STAGIONI Jar 0,5l;5;IT;70109043;0,66;3,99;4;0,36;1,44;;8001023497503;2,64;;
NO;NO;NO;10064238;1;Sortiment;QUATTRO STAGIONI Glas 1l;QUATTRO STAGIONI Jar 1l;5;IT;70109043;1,05;4,99;12;0,59;7,08;;8004360021721;12,6;;
NO;NO;NO;10090947;2;Textilien;FELTO Untersetzer türkis (Filz);FELTO Coaster turquoise (Felt);720;CN;63049300;0,12;0,99;24;0,01;0,24;;4035644778424;2,88;;
NO;NO;NO;10090978;2;Textilien;FELTO Untersetzer schwarz (Filz);FELTO Coaster black (Felt);720;CN;63049300;0,12;0,99;24;0,01;0,24;;4035644778455;2,88;;
NO;NO;NO;10107355;1;Sortiment;MENUETT Sieb ?18cm;MENUETT Strainer ?18cm;720;CN;73239490;2,06;9,99;6;0,24;1,44;;4035644886112;12,36;;
NO;NO;NO;10118276;1;Sortiment;MEMORIES Bilderrahmen 13x18cm;MEMORIES picture frames 13x18cm;720;CN;83063000;1,88;8,99;10;0,34;3,4;;4035644801610;18,8;;
NO;NO;NO;10120651;1;Sortiment;PURO Miniatur Herzschälchen;PURO mini heart bowl;720;CN;69111000;0,18;1,99;12;0,05;0,6;;4035644803782;2,16;;
NO;NO;NO;10120668;1;Sortiment;PURO Miniatur Butterdose ? 9 cm;PURO mini butter dish ?9cm;720;CN;69111000;0,43;2,99;12;0,23;2,76;;4035644803799;5,16;;
NO;NO;NO;10120828;1;Sortiment;"PURO Vorspeisenteller ""Amuse gueule""";"PURO appetiser plate ""Amuse gu";720;CN;69111000;0,31;1,99;6;0,11;0,66;;4035644803959;1,86;;
NO;NO;NO;10121733;1;Sortiment;MIX IT! Espressotasse gelb 7cl;MIX IT! espresso cup yellow 9cl;720;CN;69120030;0,22;1,99;12;0,12;1,44;;4035644804659;2,64;;
NO;NO;NO;10121757;1;Sortiment;MIX IT! Espressotasse rot 7cl;MIX IT! espresso cup red 9cl;720;CN;69120030;0,34;1,99;12;0,12;1,44;;4035644804673;4,08;;
NO;NO;NO;10121764;1;Sortiment;MIX IT! Espressountertasse rot 12cm;MIX IT! espresso saucer red 12cm;720;CN;69120030;0,26;0,99;6;0,16;0,96;;4035644804680;1,56;;
NO;NO;NO;10121771;1;Sortiment;MIX IT! Espressotasse orange 7cl;MIX IT! espresso cup orange 9cl;720;CN;69120030;0,36;1,99;6;0,11;0,66;;4035644804697;2,16;;
